uid,did,type,area
6cde6a49084274633193da2673278692,f5c143a4e054529d8a14719814ed4230,S4A4,客厅纱帘
de50570ccb43098850daec988aee39da,c24a7456b81a6cd51deb4285ea50710e,Z4A1,阳台
de50570ccb43098850daec988aee39da,65eed88838a43e5896bfc0442e0697dc,Z4A3,书房
de50570ccb43098850daec988aee39da,18a65bdbba4a5211544b347cfb61ea32,Z4A1,床头
bb06efcc5279dc21f3a027ed7009ed1b,794f600f4498cc7834cd63d2a9ceeae6,WQA4,卧室4
5295a98f39572ca8111746f85829d993,4556561e3a229d53582ce71e4774aca6,Z7A1,门磁
969b5b7509447179b812447ee0e53f32,7b63792b42f0260e2edf49897edb4db2,Z4A2,二楼楼梯二位
ddee6154559665120efecf977b4c071c,6307b1c0da0f8e7a4bea8ba8ae99b299,Z4A2,    小阳台灯。
72357e3903b922a1efd4e647a26a8a43,7e1a7e44393e917e3f9fdd9b818c3d18,Z4A2,一楼主卫开关
ddf541603629c000d0edcd5d2d19e0ec,60f457c46d3fd19b2b424f7cd7cfcc19,WZA3,西二楼网关
43c8e5156c67d15fb9351071709a1b19,c3f2fcc38431bbccb2bce311aa6f1fcc,Z4A2,客厅
1c21fb5abe97484206f57af3f3fa2782,62b03ba585b380848b7d17f821e2e087,WZA3,网关
1c21fb5abe97484206f57af3f3fa2782,eb3b175a484a35f1d2a637dd0a80217b,S4A4,窗帘二
1c21fb5abe97484206f57af3f3fa2782,aa08cede759b26ac222d771da8be30e1,S4A4,窗帘一
dd60c2cdf9068b3bfb9619c16d5bf22c,0ab975b0f0b6d299d548edd3d0330392,ZeA3,酒柜灯
cfef9d18f34ccd6a411cd62d3b49b4e3,01b6d0b060b18131fb9dee5e20cf3794,Z6A2,麻将时间
72357e3903b922a1efd4e647a26a8a43,50df1bc9fb7b083de6bb8252d6535414,Z4A2,客厅开关2
c8c812fca1dea4a25516762997b68a09,680aebea6952b4d1df3ee8ef40239f27,Z4A2,阳台开关
82398992d44c7259799b3d0cfb181bce,f1a33468d7b732c0e0a366e4b384bbf7,Z4A2,卫生间
22d9dcd5c5309e452c9d5cd798a7c558,57f499ae2e455b4e556adb0eeed28350,Z4A2,一楼廊厅灯
4f2b0f25f87abf0ae9be8adc7176e96b,f26fd726aee2e3103b511ac463a7b389,WAA1,音乐平板
feec0b674c6cc932826f213b9102da88,451e7b29c3d27aab08b25bd3721eaa60,WBA1,语音管家
c8f8ddbab9b923b48d907be22a76a866,59694eaf6e800d71b7e9e6a6e662b5e0,Z4A2,书房
b2331d87290f0b46e0198db371b1fc5a,5728fb078c7c49daa20b4f1d99ecbd55,Z4A2,二键开关
35fa5ae240fbc1ec69621de62862f433,61408fa43a80c71d0fa0bde5adeb9f3c,Z4A2,左床头开关
d1ee0fe8a12bc506a963042513eec5f5,dcf6430a661dc8c09c99bef5f7a1165b,Z4A2,餐厅
72357e3903b922a1efd4e647a26a8a43,be6f9a0388990476429c472a12605583,Z4A2,客卧开关
32621730a834b26540c309c2d2f49768,3e049d2334f8e36ebbc12469010f43a3,S4A4,次卧窗帘
969b5b7509447179b812447ee0e53f32,08182219ceade26e8bdff2aa7a5d9189,Z4A2,餐厅二位开关
32621730a834b26540c309c2d2f49768,25f872f482961e3c9a61bbfe14da3e3d,S4A4,衣帽间窗帘
32621730a834b26540c309c2d2f49768,20a7c5eeb50d276638391e0a82b35db5,S4A4,衣帽间纱帘
72357e3903b922a1efd4e647a26a8a43,0070d8910b8591e34c7f670b1d2dc1fa,Z4A2,女儿房开关
32621730a834b26540c309c2d2f49768,2b12f0ee6aafd93dbe3173519064e8b0,WZA3,网关
32621730a834b26540c309c2d2f49768,e1d827aa3dff8bb6d25bc21d6b05b9ed,S4A4,客卧窗帘
76b6876f34caceea88288b02215cc5d1,b6237d71d76099c4802df61b7fa6efe0,Z4A2,餐厨
32621730a834b26540c309c2d2f49768,c0307a8721bd749afbfb4137c7d906d0,S4A4,客卧纱帘
32621730a834b26540c309c2d2f49768,36f8ff3f6de2bc514efe6b10ed7cfbc5,S4A4,客厅纱帘
32621730a834b26540c309c2d2f49768,89c20826f43bcd7721cb95398b1651c6,S4A4,客厅窗帘
a1e2b15dfd3fec43e43cf665b719d53a,aa6fa470f08b8901aa2ac432bec1800a,S4A4,平开帘
c22fa98422951cf9358ddc8aaa0747b5,269465439065196b6d28cc1993e75685,Z4A1,客厅
f666b79292f79cdc42013068a8c36c6c,f23730e0bab2e3f3e2ce379e825fe64a,Z4A1,卧室灯
fb275589cb8aa6998deb80b4dc30bb01,5020f35b4489bf41400c3b8cdbbdb14c,Z4A2,洗漱台
c22fa98422951cf9358ddc8aaa0747b5,0f63b1b9521584ef3ba519b834a0574e,Z4A1,餐厅
a0c69aa8121a4a9ddfc4a596ef503a25,41f47977a950cf04bcdef101133f7843,WZA3,网关
c383f045dfed54dbb69ba39abcdd2ef2,83d2bb843afd01aeb333326b74313c70,T3A3,燃气传感器
c383f045dfed54dbb69ba39abcdd2ef2,6669122c794920924d9f6328ff6cf93b,Z4A2,主卧
32621730a834b26540c309c2d2f49768,af7d641e60fcc7d5f3444b5ac6db511f,Z7A4,门磁传感器
f7d7359ac15af3de145ef4bb2e4865b7,d61b45210d22209a54bae943bab750a9,T5A2,水浸传感器
32621730a834b26540c309c2d2f49768,aa4cf7eeec10b5865f7ce4ce99d51b10,S4A4,主卧窗帘
32621730a834b26540c309c2d2f49768,61651e60fdf88a0ccbe7d5a440749309,S4A4,主卧纱帘
32621730a834b26540c309c2d2f49768,68ca66f26177ca302bcb6f983ba16ee5,S4A4,次卧纱帘
c383f045dfed54dbb69ba39abcdd2ef2,596550447af3cbb93bd0aaa8c759b557,Z4A3,客厅
c383f045dfed54dbb69ba39abcdd2ef2,d45a9e517bae27745b09fd7f8d2432ff,Z4A3,餐厅
c383f045dfed54dbb69ba39abcdd2ef2,aa9bb880c8611c76df9bdee9ffeac62e,WZA3,网关
0dbffdaad60f50b1d9b4ee26141c520a,973e134a9ff4dd491b29332fb40c909f,Z6A1,人体红外
c993e2db52c7d9bd1c084daf372fae38,22e55bd801069315da602a0998621311,Z4A1,书房控制
f88d78aaf020ad029c6e68ff21b8a1ba,41409bd795c3f4ae28c18d20e4999e51,WZA3,网关
d0831d4ae0be97c9cd1f3782fa68116f,94b6212cd122aad6a24d605f4ac547c8,Z5A1,阳台窗纱
728f85887fad8421671ec086910d4e97,f1852885bddf12b50afe36c086360481,WZA3,网关
efe7c7772c4760be7ad88a675621d253,4e74d8bc5ed1519ab12d93e8cc2ac7da,Z4A3,门厅
8b27e5c6970cc3fb5e019fe1128e2f59,20157f69051b8585be7a78bd453cbbf9,S1Aj,二楼佛堂
e265589a9d913a27d8418da09ad7920b,95eb6c08c2379f500db42d3a419478b6,WAA1,背景音乐
ad28fa28f096453740ee1784bcaa36f9,c51b95ed695c9b2dfd30edd46355c4fd,Z4A3,客厅灯2
e0961d63c58797dec339c64c82509c3a,22458c4a062f7c1090bfcd6bce064e5f,Z4A3,客厅
214efd3f80480d469be08917e11397df,98880d8a9b5c783b7dd82774994d2ef0,S1Aj,卫生间
8783565483e1111cc278ab8ae2b32c42,080b68927f336ee75729a4b47b9f7869,NaA1,门锁
06fcddd24224043bde72123f247476cf,d56a6c8d8ccbf98f8c28877aba0902d3,Z4A3,前厅灯
b4b81097d30be0451b329e68675b5d08,e36d42192ab2c12b8e3a7c621af77dd0,Z4A3,主人房灯
72357e3903b922a1efd4e647a26a8a43,484ee101081475db21fff70ee562ea11,Z4A3,主卧开关
72eb6e07842220f89bca88643316a588,0d67d448e8b88c334ee517943c237b2c,Z4A3,餐厅控制
72eb6e07842220f89bca88643316a588,be057778a0f081e0b39e48264a51fb45,Z4A3,酒吧台
72eb6e07842220f89bca88643316a588,71a34db97b949d2d3bfecc83ee01e11a,Z4A2,走廊
72eb6e07842220f89bca88643316a588,90f29dff0ea752e6be5fdefef5e3318e,Z4A2,茶室
72eb6e07842220f89bca88643316a588,175e4e726aeec521394aff808976bdbd,Z4A3,客厅大灯
e4843dafbb346865539fc9fb61c88e54,8ef0554c79a736fbfe24f67b0ecff325,WZA1,Zigbee网关
72eb6e07842220f89bca88643316a588,f2e177080b66c597c00ac0722cbd513a,WZA1,Zigbee网关
f666b79292f79cdc42013068a8c36c6c,6f71827eca4894a6ac764be09633eea8,Z4A2,负二楼道灯
e5693ef0ee5bc7cdcd3405d69459a154,07efe2eefadf9df303cda55600f421be,WAA1,大厅
72eb6e07842220f89bca88643316a588,1abcf3bb2c5fe32037cb6f533f680029,Z4A1,卧室顶灯
72eb6e07842220f89bca88643316a588,d82cb1d2bae36483d8b8011fb2d2c6e8,Z4A3,茶室
8623479798bf873d3cd5df534bc3d586,a0a1cd3229159a5f2e48dfc9653acfca,Z4A3,钢琴房开关
72357e3903b922a1efd4e647a26a8a43,e1065545f333874d6c1d69cd676e0151,Z4A3,一楼房开关
f2f765f755734bf1e027373986af6a44,9eca6949fffab495a11ff6f3bd6a9ed9,Z4A3,客厅左三
fb275589cb8aa6998deb80b4dc30bb01,a666e5958e12858ed25f7cb05345f5ea,Z4A2,书房
7f2cb0214b4ea1bec529f0ce54a68de7,640ade9267b7e517003e104b5bc24e52,WZA3,网关
c2d7e10e9fbb34f16633a2d3ea7c8478,4a4bf32962296be3507d00e752bae92a,Z4A3,厨餐
c2d7e10e9fbb34f16633a2d3ea7c8478,4cb9681d972f97f91cbdc450e7a138f7,Z4A1,门厅灯
c2d7e10e9fbb34f16633a2d3ea7c8478,6344b0992fab5cc2c5cdf2512323a447,Z4A1,主灯
c2d7e10e9fbb34f16633a2d3ea7c8478,2206d4e2ef752c4100b86398743a042c,Z4A2,二键开关
c2d7e10e9fbb34f16633a2d3ea7c8478,a8f60e0cce453d0c640fae3c3d4ea269,Z4A3,客厅
5a23d6d73a700380d00631585e3ad426,e626db2e33c8e09a6579c189f8aeda46,T3A3,燃气传感器
f38d7a571dd057cac8466971d1b86dce,15b7982d033ff64026cd77c1b48da736,Z5A1,窗帘电机
72357e3903b922a1efd4e647a26a8a43,32e5df176511cc4367023e990d007ece,Z4A3,次卧开关
72357e3903b922a1efd4e647a26a8a43,4dff7ff5f6d11d3e4960dc31580b7b66,Z4A3,影音室开关
7a50d9235308cb7f4aabca4d73733082,ccd5f46c3e2609e9fe0d681f5893a2ef,Z4A1,卫生间灯
72357e3903b922a1efd4e647a26a8a43,a492fc6dd8252da8b4f1faa6e09e3dc0,Z4A3,三楼房开关
72357e3903b922a1efd4e647a26a8a43,c55b0cd5f6cfa98d3d4df9667fce5161,Z4A3,三楼梯开关
52536aeb38463e535523a8eef406c17e,a9fd2788faa3a0a1d8cc1e45bb6a5adc,Z4A3,客厅灯
f38d7a571dd057cac8466971d1b86dce,7bc5599e8e9463a1016274e34ea19547,Z4A2,餐厅
c8c812fca1dea4a25516762997b68a09,177663ecd99d569e528ef5742b4db884,Z4A2,主卧开关
f38d7a571dd057cac8466971d1b86dce,7af26c4a4ed53dce2b9f5d99f1bceb04,Z4A3,餐厅
cafa12b12977844d1960434f5c4e0cde,851d8570d2ced3b5b835820140c3257b,Z4A1,一键开关
f38d7a571dd057cac8466971d1b86dce,ce38a747a01a2feccb11622738042dc6,Z4A2,二键开关
f38d7a571dd057cac8466971d1b86dce,c52d3282013ba7a4f1d5f1fb3f886f4b,Z4A1,榻榻米主灯
f38d7a571dd057cac8466971d1b86dce,8eaa58916befba4c8e53851775da1ccf,Z4A2,客厅
43c8e5156c67d15fb9351071709a1b19,a652ec804a3b64280506c24d35667cee,Z4A2,二键开关
06fcddd24224043bde72123f247476cf,5d19349ff3c2c16bf6a27373cd77390a,W2A2,红外宝
f38d7a571dd057cac8466971d1b86dce,f9be6e0bda01c4918b5d57020fee35f8,Z4A3,主卧开关
f38d7a571dd057cac8466971d1b86dce,bbc816769d5f913d822dc6adc89e94c7,Z4A3,客厅二
cfef9d18f34ccd6a411cd62d3b49b4e3,bb69697ee3f818c73703dcff7c284668,Z4A3,茶室
d1ee0fe8a12bc506a963042513eec5f5,7bede9835b7d31acf171e6aa44cf56a2,Z4A2,客厅灯
f38d7a571dd057cac8466971d1b86dce,9c034369ed4bf021e273fcb1ecf44ddc,Z4A1,儿童房灯
84d35b59f5502f8d31761d90019c4a44,8719c9f0e09443f0f9843481f55c4b03,NaA1,门锁
b39309a9750e034971b4fcc98fb8b437,f0498df8d6430c297f29545c6b8f0a51,Z4A3,三键开关
72357e3903b922a1efd4e647a26a8a43,f27ae6c398b282851a18eb222c1378d5,Z4A3,客厅开关1
b4b81097d30be0451b329e68675b5d08,9e51d0729de397576b517035e19cddca,Z4A3,入户门灯
f666b79292f79cdc42013068a8c36c6c,8e3e2813edf9174ef1daee0a7e3b6ac4,Z4A3,负一氛围灯
ed51ff7ac609613f396c0a1619825994,d4f4b68dae4fc910358e650622ff46d1,WZA3,网关
b8fced181e0c7c965e418d36a9a34d5b,345f06d74f6ca93935a5f56f4c1100a0,WZA1,Zigbee网关
ddf1c9877b8f8cdd5b6d96ed90b66f14,5ed7314a60cfa18991af2903e1016a24,WZA3,网关
61db076cdefe3f9abe13c36318a6fde5,b7e8ce391e4f3a4957ca531605125b82,Z7A4,门磁传感器
898f2f89953194b143f70f1e1f9edc39,da110ccda19278c7ffa4faa302bfb9c4,Z4A1,衣帽间灯
898f2f89953194b143f70f1e1f9edc39,28baa7b809fa06de4dd06ef9fc5006aa,S4A4,儿童房窗帘
898f2f89953194b143f70f1e1f9edc39,9f69ecc0a50ee00ab062554f8989b1f6,S4A4,客厅窗帘
898f2f89953194b143f70f1e1f9edc39,c56cb103e2c71dd0b78fdc2048772ce4,S4A4,主卧窗帘
f415ff798aa6102ed7c2bb4069743d32,2073039ace4b9ec8d6155ec764b8a7e8,Z9A2,展厅按钮
ed51ff7ac609613f396c0a1619825994,37a66f5f4d477d0cc0f6c5aea5c24028,S1Aj,三键开关
4a84f317ac3559a8c97cbc143023a6e3,5d8c5d9808f5c95a56331646f8d0be8e,WZA3,网关
2fefcdf08918ecbe6726fdb7a2104e97,b8a612e2d9c91b101d5c8cb82b31c048,S4A4,客厅窗帘
f415ff798aa6102ed7c2bb4069743d32,99aa26ccdc5f62868a055f64e92a8611,T3A3,燃气传感器
f415ff798aa6102ed7c2bb4069743d32,fb06df6d4f97f10eb5c0be7b7fcddf9b,T4A6,烟雾传感器
83d4dc9fb2d2b519cbe9fac3ad0144ad,58cf9dbaf537ca8156040ee0f53298d9,W2A3,儿童房红外
2fefcdf08918ecbe6726fdb7a2104e97,74e77bc2db44f95ded99467a1554c330,WZA3,网关
ffaa472260b7782ae1961ed95cdf45f8,ecf69131dac54468217f4df5a3d215cb,S1Aj,阳光房，大门厅，入户吊灯
ad453faabb362bc4af3294d378993a75,a91dde00d29a76aab2ade071832a56f8,S1Aj,三键开关
06fcddd24224043bde72123f247476cf,452f652d06ffb532a374d50fa52e62c3,Z4A3,次卧灯
cafa12b12977844d1960434f5c4e0cde,6b73b8303dffb1e034ba3633b8d448d4,Z5A1,窗帘电机
cafa12b12977844d1960434f5c4e0cde,745bfec2e59f3b11ddc957641f516906,Z5A1,窗帘电机
8a73ac16477aff7f07bc95ef09a5f7c4,8900ce94b0ba797f54dc813708538358,Z5A1,影音室
cafa12b12977844d1960434f5c4e0cde,7af9a4c27f24ee6e52d5c1888006b5f0,Z4A1,一键开关
a1f61292ab9b727f97cc43544be44a74,3192a11a7860f3b6dbc0e23d4c1e9ad4,S4A4,书房窗帘
a1f61292ab9b727f97cc43544be44a74,bc9a03e4c60cae831e69ba4f8ffeead6,S4A4,客厅窗帘
cafa12b12977844d1960434f5c4e0cde,229a3c377bba807a4c40c8891345ae8d,Z4A2,二键开关
96e5c9c5060c56aacb0d265ca92998e8,4b57d8a65b59cb96f515849f6ac1a92b,S4A4,平开帘
cafa12b12977844d1960434f5c4e0cde,8ad3c6aa01af215eb7a193435cd72f8c,Z4A2,二键开关
2f34074d3e40551ee0537a8cbc4e4347,23f466ba45349cc19c34864aec298408,WZA1,Zigbee网关
d00c0830f4339b846b561806f80a9ea6,bad741345080a7d642f65ceef5e6df0a,S4A4,主卧窗帘
3e8f3ed7aca6aede2ec31c30331a9b73,b2b909ae667989b00145e8d12b9259d5,WZA3,网关
2fefcdf08918ecbe6726fdb7a2104e97,031219726bb49ea38e640d8393a9e643,S4A4,卧室窗纱
ffaa472260b7782ae1961ed95cdf45f8,fc104c0a94e233b19aa110d5c2205df9,S1Aj,二楼卫生间取暖，照明，换气
0537480b2756df07eee0a538b6a0defb,9129fe4512ce3e313d087a78d1816e91,S1Aj,三键开关
e98e6eea06a9f8f6b33c8d2f4c7abd51,2de7fd4a17b3697c7a77f3f691a97da0,S1Aj,三键开关
a1f61292ab9b727f97cc43544be44a74,b4bcb095532498c4d1a5ad7a2fc02bef,S4A4,小卧室窗帘
a1f61292ab9b727f97cc43544be44a74,bdfb78384dd0c7c2af50f7d36a37a3b3,S4A4,主卧窗帘
cafa12b12977844d1960434f5c4e0cde,7f80f6f5b0f6a954833e9a02cb379622,Z6A1,人体红外
cafa12b12977844d1960434f5c4e0cde,17abbdcbc8900f406629d351b82eafb6,Z7A1,门磁
f3d595a6099cc2e2624e0ad81b1d59dc,12eaaef4b3a36ad397d4dd642e98b1b2,Z4A2,二键开关
a1f61292ab9b727f97cc43544be44a74,9f9157ca602d23381a941ff1fea85854,S6A3,床头开关
61db076cdefe3f9abe13c36318a6fde5,45dbad4e934d4c28bd05dd930c1563e2,S4A4,平开帘
72357e3903b922a1efd4e647a26a8a43,82284b3e387ca5e37db947e6b40bd4e7,Z4A3,二楼梯开关
deaac816598c56a57ec0b23103a28055,6b7375e4aa1e6ad228b82518310d8ab5,S1Aj,广告-门头-办公
72357e3903b922a1efd4e647a26a8a43,d5e308eb90c828ed4602e8f6fb15f842,Z4A3,女儿房开关
ffaa472260b7782ae1961ed95cdf45f8,4a64c55a676405ca85b01a3d2c25f5e9,S1Ai,过道灯，茶水柜灯
06fcddd24224043bde72123f247476cf,18e6075d7b4083cbc571015d7de7e1dd,Z4A3,客厅灯
98e7fc4cdc62fc848b3f92cf45def286,09a85e8a742ffb7176e50953e3735095,S1Aj,客厅灯
aee5ae48a2fe2cd0823593c72a3ad708,34ec0ae85343c98fe9320d62eeec1090,Z6A2,人体红外
72357e3903b922a1efd4e647a26a8a43,1a03a65e000abaf70003bece248c5cac,Z4A3,楼梯开关
ffaa472260b7782ae1961ed95cdf45f8,c6594e3492aa280b4b18ff145cbe880a,S1Aj,餐吊灯，厨房1，厨房2
879834e03919ab1dc82e0988a94abffc,b127296d1c177e77a64597d883a52010,WZA3,网关
8a73ac16477aff7f07bc95ef09a5f7c4,571b7fec252a44d28a2b310eb9de0b45,Z5A1,卧室
61db076cdefe3f9abe13c36318a6fde5,d385389e0cc0c084882803098cd61834,WZA3,网关
e4822294a0d92588b3f8d106276c4706,6a2e7ec4e533979383a28f14c22e32ec,S4A4,客厅窗帘
22d9dcd5c5309e452c9d5cd798a7c558,4b6c013f6bcb3f331b81c3d64358ab85,Z4A3,一楼双控开关
ad453faabb362bc4af3294d378993a75,d2e92e27e9e80f2e3e57ac1357e088b4,S1Aj,茶室灯
a36811d182332bd84f29be93cbb05f72,fda87978d9cf0780e49c096bd1b43ff2,S1Aj,三键开关
aec7d15a0f3aa0a825cceac028671c3e,4077008e46b8b004e5eb36187eb8ffce,WZA2,二合一网关
22d9dcd5c5309e452c9d5cd798a7c558,80d7ecbf13644c9a80a84f1680086e0c,Z4A3,二楼大厅灯
9c141827e3c1a04b88d36f4b11874ac2,92c654797864e82aa43976b3a41e9217,WZA2,一楼
52be0fd2f08dc33fb012ffd4abca4f7b,7e519c143a8ff18c5f7e634c27194b45,Z4A3,餐厅
ed51ff7ac609613f396c0a1619825994,f8454d85f64b53848c38777cb568a121,S1Aj,三键开关
603b38e9b67a3d824f67db399939373f,6b9a8f73f5f52836042e0bd042dbb3e2,WQA4,三楼房间2情况
d00c0830f4339b846b561806f80a9ea6,7f427ba8bbe2757433ee1dd7cd95acb3,Z6A2,人体红外
cad6ac1a437c2f26aa006bd58e07a3d5,f992ee6aa05b6f2300fb9690a611626e,Z4A2,客卫外
